"TrackNum2_primary","n"
"1701241",23
"1701245",22
"1701248",24
"1701253",21
"1701256",8
"1701260",14
"1701261",22
"1701265",8
"1701266",26
"1701268",9
"1701269",5
"1701270",22
"1701276",10
"1701277",8
"1701278",9
"1701280",25
"1701281",23
"1701282",28
"1701283",9
"1701285",20
"1701289",32
"1701290",34
"1701294",5
"1701295",28
"1701304",28
"1701306",24
"1701308",22
"1701310",22
"1701319",20
"1701321",9
"1701322",22
"1701323",23
"1701324",9
"1701325",7
"1701327",20
"1701328",9
"1701329",9
"1701330",5
"1701333",22
"1701335",20
"1701336",36
"1701337",8
"1701338",8
"1701339",11
"1701340",23
"1701341",22
"1701342",23
"1701343",8
"1701344",22
"1701345",8
"1701347",19
"1701348",24
"1701349",22
"1701351",22
"1701352",10
"1701353",22
"1701356",21
"1701357",3
"1701360",9
"1701361",24
"1701362",22
"1701363",22
"1701364",2
"1701365",21
"1701366",8
"1701368",6
"1701370",23
"1701371",21
"1701372",3
"1701373",3
"1701374",26
"1701375",30
"1701376",22
"1701377",22
"1701379",9
"1701380",20
"1701381",27
"1701382",7
"1701383",22
"1701384",2
"1701385",3
"1701386",24
"1701388",3
"1701390",11
"1701391",22
"1701392",20
"1701393",11
"1701394",3
"1701395",18
"1701396",24
"1701397",27
"1701398",37
"1701399",8
"1701400",10
"1701402",23
"1701403",22
"1701404",9
"1701407",22
"1701410",22
"1701411",22
"1701413",22
"1701414",23
"1701415",22
"1701417",22
"1701418",29
"1701422",22
"1701424",22
"1701425",22
"1701426",25
"1701428",22
"1701429",22
"1701431",22
"1701432",22
"1701433",22
"1701434",22
"1701436",22
"1701437",22
"1701438",22
"1701441",22
"1701443",22
"1701445",22
"1701446",22
"1701447",22
"1701451",23
"1701453",22
"1701454",22
"1701456",22
"1701457",4
"1701459",22
"1701460",35
"1701461",34
"1701462",23
"1701463",8
"1701465",24
"1701467",8
"1701468",28
"1701470",24
"1701473",5
"1701477",8
"1701479",9
"1701480",9
"1701486",23
"1701491",29
"1701492",32
"1701494",22
"1701495",28
"1701501",9
"1701502",23
"1701504",22
"1701505",8
"1701506",23
"1701507",8
"1701508",27
"1701509",3
"1701510",27
"1701511",22
"1701513",22
"1701514",3
"1701517",20
"1701519",22
"1701520",22
"1701521",27
"1701524",24
"1701525",24
"1701527",22
"1701531",26
"1701533",22
"1701536",8
"1701537",2
"1701538",13
"1701541",23
"1701542",23
"1701543",22
"1701544",1
"1701546",29
"1701547",22
"1701549",22
"1701555",23
"1701557",27
"1701562",22
"1701563",20
"1701565",32
"1701566",22
"1701567",8
"1701571",27
"1701572",22
"1701574",22
"1701575",22
"1701576",22
"1701578",22
"1701579",25
"1701580",15
"1701583",22
"1701585",22
"1701586",29
"1701587",22
"1701590",23
"1701591",22
"1701594",22
"1701595",23
"1701596",22
"1701599",21
"1701601",22
"1701602",25
"1701603",22
"1701604",9
"1701605",22
"1701607",28
"1701608",27
"1701609",22
"1701610",21
"1701611",24
"1701612",22
"1701613",22
"1701614",8
"1701616",22
"1701618",22
"1701626",30
"1701627",22
"1701628",22
"1701629",6
"1701631",22
"1701632",3
"1701633",8
"1701634",3
