"Lat","n"
45.895983,1
45.896038,1
45.89635,1
45.8977,1
45.898762,3
45.89972222,1
45.899967,1
45.9000107,1
45.90047,1
45.9006,2
45.900884,6
45.9014915,1
45.902709,1
45.9031,1
45.90345,1
45.904555,1
45.905,1
45.905255,1
45.905562,1
45.905667,1
45.90611,1
45.907257,1
45.907443,2
45.907463,1
45.908161,1
45.908333,2
45.908583,1
45.908661,1
45.9090986,1
45.90931,2
45.909951,1
45.910529,1
45.910687,1
45.911857,1
45.913763,1
45.914083,2
45.91668,2
45.916766,1
45.9180064,1
45.919444,1
45.92069,1
45.921376,1
45.921397,1
45.921963,1
45.923098,1
45.9235,1
45.926944,1
45.93167,1
45.934944,1
45.935943,1
45.935955,1
45.935979,1
45.935989,1
45.936582,1
45.938746,1
45.93889,1
45.94025,1
45.941326,1
45.94156,1
45.945239,1
45.94655,1
45.946839,1
45.94805,1
45.949282,1
45.9499,1
45.950316,1
45.950383,1
45.950672,1
45.950832,1
45.9512199,1
45.951967,1
45.95233,1
45.95315,1
45.953183,1
45.953611,1
45.954,1
45.95422012,1
45.954385,2
45.9543851,1
45.954669,3
45.95528,1
45.95562,1
45.956278,1
45.956688,1
45.956996,1
45.957,1
45.957778,1
45.958,1
45.958333,1
45.958583,1
45.959163,1
45.95949,1
45.9597,1
45.960079,1
45.960453,1
45.96175,2
45.96241,1
45.963394,2
45.9641,1
45.96473,1
45.964865,1
45.964963,1
45.965,1
45.965181,1
45.965447,1
45.965659,1
45.965745,1
45.96575,1
45.965858,5
45.965941,2
45.966042,2
45.966256,1
45.966278,1
45.966667,1
45.968964,1
45.96983,1
45.9699972,1
45.97000278,1
45.97004167,2
45.97009445,1
45.970122,1
45.9702204,1
45.97135,1
45.971497,1
45.971914,1
45.9719663,1
45.97255,1
45.9753,1
45.97538889,1
45.977533,1
45.979997,1
45.980412,1
45.9804121,1
45.980735,1
45.980812,1
45.981667,1
45.9817582,1
45.98339,2
45.9837963,1
45.984444,1
45.984616,1
45.98648,1
45.98798,1
45.988889,1
45.990556,1
45.991667,1
45.993078,1
45.994412,1
45.994428,1
45.995835,1
45.99679,1
45.9979,1
45.997947,1
45.998481,1
45.998742,1
45.998846,1
45.999179,1
46.002835,1
46.003813,1
46.00615,1
46.006827,1
46.008765,1
46.0092,1
46.01,1
46.010163,1
46.010819,1
46.018471,1
46.019109,1
46.021757,1
46.022457,1
46.02415,1
46.024867,1
46.0279615,1
46.030417,2
46.032993,2
46.037647,1
46.049918,1
46.0506,1
46.052465,1
46.053491,1
46.053966,1
46.057005,1
46.05853,1
46.0655,2
46.073466,1
46.07364,1
46.08477,1
46.0851,1
46.08532,1
46.087997,1
46.089257,1
46.090474,1
